title,year,citation_count,llm_relevance_score,doi,source,llm_reasoning
"An Empirical Study of DeFi Liquidations: Incentives, Risks, and Instabilities",2021,0,95,10.1145/3487552.3487811,arxiv,"This paper is highly relevant as it directly studies DeFi liquidations, including incentives, risks, and instabilities. This aligns perfectly with the research query on mechanisms of cryptocurrency liquidation cascades in DeFi protocols."
Mitigating Decentralized Finance Liquidations with Reversible Call Options,2023,0,95,,arxiv,"This paper is highly relevant. It directly addresses the mitigation of liquidations in DeFi, which is a core component of understanding liquidation cascades. The paper's focus on preventing liquidation spirals and system-wide failures aligns perfectly with the research query."
Ergodic optimal liquidations in DeFi,2024,0,90,,arxiv,"This paper directly addresses the liquidation problem in DeFi, focusing on optimal liquidation strategies. This is highly relevant to understanding the mechanisms of liquidation cascades."
PROCLAIM: PRO TOCOL - AGNOSTIC C OLLATERAL L IQUIDATION A UCTION I NTEGRATED M ARKETPLACE,2023,0,85,,semantic_scholar,"This paper is highly relevant as it directly addresses collateral liquidation mechanisms in DeFi. The title itself indicates a focus on liquidation auctions, suggesting a close examination of the processes involved."
Short Squeeze in DeFi Lending Market: Decentralization in Jeopardy?,2023,0,85,,arxiv,"This paper discusses a short squeeze event in Aave, which is highly relevant. Short squeezes can lead to liquidations and potentially cascades. The paper provides a real-world example of how DeFi lending markets can be vulnerable, closely related to the query."
Liquidations: DeFi on a Knife-edge,2020,0,85,10.1007/978-3-662-64331-0_24,arxiv,"This paper is closely related and covers key aspects of the query. It directly discusses liquidations in DeFi and the role of overcollateralization, which is central to understanding liquidation cascades. The title itself suggests a focus on the precarious nature of DeFi liquidations."
"A multi-asset, agent-based approach applied to DeFi lending protocol modelling",2022,0,85,,arxiv,"This paper directly addresses the research query by using an agent-based model to assess market risk in DeFi lending protocols, specifically focusing on price-driven liquidation risk. It's highly relevant as it models the dynamics that can lead to liquidation cascades and assesses systemic risk."
Compound V3 Economic Audit Report,2024,0,75,,semantic_scholar,An economic audit report of Compound V3 is closely related to the research query. Understanding the economic mechanisms of a major DeFi lending protocol is crucial for understanding how liquidations occur and potentially cascade. The audit may reveal vulnerabilities or design choices that contribute to such events.
"DeFi Protocols for Loanable Funds: Interest Rates, Liquidity and Market Efficiency",2020,0,75,,arxiv,"This paper discusses DeFi protocols for loanable funds, which is relevant to understanding the context in which liquidation cascades occur. It doesn't directly address the mechanisms of liquidation cascades, but provides a foundation for understanding DeFi lending protocols."
DeFi Liquidation Risk Modeling Using Geometric Brownian Motion,2025,0,75,,arxiv,"This paper is closely related as it models liquidation risk in DeFi, a key component of liquidation cascades. While it focuses on a specific model (Geometric Brownian Motion) and a specific type of lending (stablecoin single-collateral), it directly addresses the risk aspect of liquidations."
An Evaluation System for DeFi Lending Protocols,2023,0,65,,arxiv,"This paper focuses on evaluating DeFi lending protocols. While it doesn't directly address liquidation cascades, a good evaluation system would likely consider the risks and mechanisms related to liquidations, making it moderately relevant."
Dynamic Curves for Decentralized Autonomous Cryptocurrency Exchanges,2021,0,65,,arxiv,"This paper focuses on decentralized cryptocurrency exchanges and automated market makers (AMMs) like Uniswap and Curve. While it doesn't explicitly discuss liquidation cascades, the dynamics of these exchanges are relevant to understanding how liquidations can occur, making it moderately relevant."
Interest Rate Rules in Decentralized Finance: Evidence from Compound,2022,5,60,10.4230/OASIcs.Tokenomics.2022.5,semantic_scholar,"While not directly about liquidation cascades, understanding interest rate rules in DeFi protocols like Compound is moderately relevant as interest rates can influence borrowing and lending behavior, potentially contributing to or mitigating liquidation events."
Measuring Asset Composability as a Proxy for DeFi Integration,2021,0,60,10.1007/978-3-662-63958-0,arxiv,"This paper discusses asset composability in DeFi, which is moderately relevant. Composability can influence how liquidations propagate, but the paper doesn't explicitly focus on liquidation cascades themselves."
